CountryName,CountryCode,SpecialNotes,Date,Rate,avgRateperMetric
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1991,8.179628672,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1992,8.270723848,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1993,8.266327153,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1994,8.138290951,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1995,7.908445555,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1996,7.823907893,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1997,7.783654415,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1998,7.812733636,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",1999,7.849877812,7.606703976
Africa Eastern and Southern,AFE,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",2000,7.788316903,7.606703976
